titles,authors,nums,peoples
天官賜福 一,墨香銅臭/平心出版/2017-12/NTD330,7.6,(5602人评价)
桃花债,大风刮过/中国文联出版社/2016-7-1/36.00元,8.1,(6292人评价)
何以笙箫默,顾漫/朝华出版社/2007-4/15.00元,7.8,(138085人评价)
AWM绝地求生 上册,漫漫何其多著/北京时代华文书局/2019-4/39.8元,7.5,(2166人评价)
那个不为人知的故事,twentine/江苏文艺出版社/2015-12/32.00元,8.6,(13339人评价)
默读.3,Priest/北京联合出版公司/2018-8/48.00元,8.5,(5750人评价)
天官賜福 三,墨香銅臭/平心出版/2017-12/NTD330,7.6,(1922人评价)
六爻,Priest/？/1900/,8.5,(6127人评价)
有匪1,Priest/湖南文艺出版社/2016-11/35.00元,8.8,(9265人评价)
天官賜福 四,墨香銅臭/平心出版/2017-12/NTD330,7.8,(1465人评价)
迪奧先生 VOL.01,綠野千鶴/威向有限公司/2018-10-31/NTD250,7.1,(950人评价)
AWM「絕地求生」VOLUME #2,漫漫何其多/威向有限公司/2018-8/NTD320,7.8,(2086人评价)
知否知否应是绿肥红瘦,关心则乱/中国华侨出版社/2018-4-1/42.00元,7.4,(5754人评价)
白日梦我,栖见/百花洲文艺出版社/2019-7/69.80元,6.4,(2270人评价)
提灯映桃花,淮上/江苏文艺出版社/2017-1-1/68.00元,7.3,(1656人评价)
天官賜福 二,墨香銅臭/平心出版/2017-12/NTD330,7.7,(1357人评价)
原来你还在这里,辛夷坞/朝华出版社/2007-10/25.00元,7.6,(44717人评价)
三千鸦杀,十四郎/春风文艺出版社/2010-8/19.80元,7.4,(7706人评价)
AWM「絕地求生」VOLUME #1,漫漫何其多/威向有限公司/2018-8/NTD320,7.6,(3135人评价)
微微一笑很倾城,顾漫/江苏文艺出版社/2009-8/25.00,7.9,(95208人评价)
致我们终将逝去的青春,辛夷坞/朝华出版社/2007-8/25.00元,7.8,(89994人评价)
来不及说我爱你,匪我思存/新世界出版社/2006-9/20.00元,8.0,(25784人评价)
万花筒·秋石,西子绪/江苏凤凰文艺出版社/2019-5/38.8元,7.8,(1196人评价)
步步惊心,桐华/民族出版社/2006-6/25.00元,8.1,(53767人评价)
夜旅人,赵熙之/百花洲文艺出版社/2016-9/32.80元,8.5,(4630人评价)
花千骨（上下）,Fresh果果/北方妇女儿童出版社/2009/56.00元,7.6,(21020人评价)
香蜜沉沉烬如霜,电线/江苏文艺出版社/2009-7/25.00元,7.5,(15672人评价)
大漠谣,桐华/河南文艺出版社/2006-11/20.00元,7.8,(25328人评价)
你是我的荣耀,顾漫/九州出版社/2019-6/36元,6.9,(3268人评价)
东宫,匪我思存/新世界出版社/2010-07/28.0,7.3,(30184人评价)
且试天下1,倾泠月/二十一世纪出版社/2007-5/23.00元,7.9,(15983人评价)
骄阳似我,顾漫/花山文艺出版社/2013-7-20/25.00元,7.9,(9497人评价)
千山暮雪,匪我思存/新世界出版社/2009-5/25.00,7.1,(20567人评价)
地球上线,莫晨欢/天津人民出版社/2020-3/49.8元,7.5,(203人评价)
孤城闭,米兰Lady/新世界出版社/2009-09-11/24.80元,8.6,(5180人评价)
表妹万福,蓬莱客/江苏凤凰文艺出版社/79.80元,7.2,(856人评价)
恋爱才是正经事,艾小图,6.2,(343人评价)
琉璃美人煞（上中下）,十四郎/江苏文艺出版社/2009-08/69.0,7.8,(6182人评价)
三生三世 十里桃花,唐七公子/沈阳出版社/2009-1/26.80,7.8,(80111人评价)
千秋,梦溪石/长江文艺出版社/2016-10,7.7,(1414人评价)
桃花债 上,大风刮过/威向/2008-02-20,8.5,(6032人评价)
有匪2,Priest/湖南文艺出版社/2017-3/36.00元,9.1,(4121人评价)
寂寞空庭春欲晚,匪我思存/新世界出版社/2011-7/28.00元,7.7,(19993人评价)
圖靈密碼,非天夜翔、PSD/平心工作室/2019-1-10/NTD990,7.4,(694人评价)
成功者的肖像,天籁纸鸢/先见出版公司/1993-06-22/180.00,9.1,(2496人评价)
簪中录,侧侧轻寒/江苏凤凰文艺出版社/2015-1-1/30.00,7.9,(11266人评价)
山河表里,Priest/云南美术出版社/2015-3-1/CNY50.00,8.0,(3767人评价)
破云,淮上/江苏凤凰文艺出版社/2019-7/49.80元,8.3,(8975人评价)
