titles,authors,nums,peoples
撒野,巫哲/北京联合出版公司/2018-10/45.00元,8.7,(23579人评价)
默读,Priest/百花洲文艺出版社/2018-1/45.00,8.4,(30989人评价)
伪装学渣,木瓜黄/北京时代华文书局/2019-6/39.80元,6.6,(5379人评价)
魔道祖師 一,墨香铜臭/平心工作室/2016-12-8/NT330元,7.9,(25692人评价)
撒野 2,巫哲/贵州人民出版社/2019-4/49.80元,8.9,(7046人评价)
破云,淮上,8.4,(7889人评价)
天官赐福,杜枫/三葉草出版社/2008-02-20,8.2,(5342人评价)
殺破狼,Priest/龍馬文化/2016-9/臺幣1200圓,8.8,(13664人评价)
将进酒,唐酒卿/江苏凤凰文艺出版社/2020-4/68.00（二册）,9.0,(1483人评价)
伪装学渣2,木瓜黄/北京时代华文书局/2019-9/39.80元,7.1,(1713人评价)
鬓边不是海棠红,水如天儿/中国致公出版社/2019-12/68.00元,8.3,(2435人评价)
天官賜福 一,墨香銅臭/平心出版/2017-12/NTD330,7.6,(5570人评价)
溺愛調教,西野花、笠井あゆみ/徳間書店/2013-7-27/JPY600,6.6,(197人评价)
魔道祖師 二,墨香銅臭/平心工作室/2016-12-8/NT330元,8.1,(7004人评价)
人渣反派自救系統 上,墨香銅臭/平心工作室/2017-7-24/NTD330,7.3,(3965人评价)
镇魂,priest/晋江出版社/2013-7-4/25,7.9,(14618人评价)
破云2,淮上/江苏凤凰文艺出版社/2020-6/49.80元,7.9,(1744人评价)
AWM绝地求生 上册,漫漫何其多著/北京时代华文书局/2019-4/39.8元,7.5,(2147人评价)
万花筒：南烛,西子绪/江苏凤凰文艺出版社/38.8元,7.4,(3743人评价)
桃花债,大风刮过/中国文联出版社/2016-7-1/36.00元,8.1,(6284人评价)
魔道祖師 三,墨香銅臭/平心工作室/2016-12-8/NT330元,8.1,(4577人评价)
默读.3,Priest/北京联合出版公司/2018-8/48.00元,8.5,(5724人评价)
默读.2,Priest/北京联合出版公司/2018-6/48.00元,8.5,(6915人评价)
六爻,Priest/？/1900/,8.5,(6104人评价)
镇魂,Priest/贵州人民出版社/2019-5/49.80元,8.3,(2448人评价)
碎玉投珠,北南/青岛出版社/2019-3/30.00,8.4,(1857人评价)
成化十四年,梦溪石/北京联合出版公司/2015-11-1/74.00元,8.1,(2915人评价)
格格不入,巫哲/青岛出版社/2016-4-1/59.80元,8.1,(4165人评价)
人渣反派自救系統 下,墨香銅臭/平心工作室/2017-7-24/NTD330,7.2,(2252人评价)
大哥,Priest/上海人民美术出版社/2016-3-1/CNY32.00,8.5,(7175人评价)
过门,priest/2016-10-1/16.90,8.5,(4005人评价)
残次品,priest/2017,8.8,(3186人评价)
遇蛇,溯痕/晋江文学城/2015-5-1/0.00,8.0,(2534人评价)
你丫上瘾了,柴鸡蛋/自行出版/2016-2-1/25.00,6.9,(4343人评价)
人渣反派自救系統 中,墨香銅臭/平心工作室/2017-7-24/NTD330,7.3,(2032人评价)
はじまりはナカから,みちのくアタミ/ジュネット/2018-3-31/JPY700,7.4,(104人评价)
魔道祖師 四,墨香銅臭/平心工作室/2016-12-8/NT330元,8.0,(3332人评价)
破云,淮上/江苏凤凰文艺出版社/2019-7/49.80元,8.3,(1814人评价)
放学后的秘密花园,神崎貴至/長鴻出版社/2010/130NTD,6.3,(101人评价)
铜钱龛世,木苏里/中国书籍出版社/2016-11-1,7.5,(1239人评价)
穿堂驚掠琵琶聲,高台樹色/留守番工作室/2019-9/NTD360,8.7,(881人评价)
Killing stalking: 1 杀戮跟踪,Koogi/EdizioniBD/2017-7-13,9.2,(1177人评价)
狼行成双,巫哲/江苏凤凰文艺出版社/2015-5-30/68.00元,8.2,(2516人评价)
白日事故,高台樹色/留守番/2019-5-13/NTD780,8.9,(1066人评价)
属于你我的森林,日下孝秋/尊龙/NT100,6.2,(109人评价)
撒野 一,巫哲、長樂/葭霏文創/2018-4/NTD330,8.6,(5006人评价)
我讓最想被擁抱的男人給威脅了,桜日梯子/陳姿君/東立出版社/2014-10-8/NT130元,6.8,(406人评价)
撒野 3,巫哲/江苏凤凰文艺出版社/2020-5-7/49.8元,8.6,(230人评价)
天官賜福 三,墨香銅臭/平心出版/2017-12/NTD330,7.6,(1907人评价)
Q3,日野雄飛/茜新社/2017-2-25/JPY734,8.0,(64人评价)
少年残像,由贵香织里、由貴香織里/白泉社/1998/JPY410,8.7,(6085人评价)
山羊與大野狼的發情事件,朱鷺紫羽、ときしば/長鴻,7.0,(115人评价)
被監禁的王子,緒川千世/紙屋/尖端/2013-3-1/NT130,7.9,(703人评价)
提灯映桃花,淮上/江苏文艺出版社/2017-1-1/68.00元,7.3,(1648人评价)
AWM「絕地求生」VOLUME #1,漫漫何其多/威向有限公司/2018-8/NTD320,7.6,(3123人评价)
哑奴,香品紫狐/桃源/2007-08-23,6.3,(77人评价)
万花筒千里,西子绪/江苏凤凰文艺出版社/2019-9/39.8,7.5,(405人评价)
同級生,中村明日美子/茜新社/2007/650円,9.2,(5714人评价)
最爱你的那十年,无仪宁死/江苏凤凰文艺出版社/2020-5/45.8,6.9,(198人评价)
我和我对家,PEPA/广东旅游出版社/2020-4/39.80元,7.6,(159人评价)
迪奧先生 VOL.01,綠野千鶴/威向有限公司/2018-10-31/NTD250,7.1,(942人评价)
花近江國,孔恰/留守番/2018-8-13/NTD1650,9.0,(798人评价)
一个钢镚儿,巫哲、哎呀呀/世界知识出版社/2018-9-15/35.00,7.7,(1534人评价)
世界一初恋    ~小野寺律の場合~,中村春菊/角川グループパブリッシング/2008-7-1/JPY588,9.0,(2924人评价)
一醉经年,水千丞/2016,6.6,(869人评价)
不死者,淮上/2018,7.5,(1001人评价)
皇叔,大风刮过/新世界出版社/2012-12/29.80元,8.1,(3667人评价)
娘娘腔,水千丞/2016,6.3,(1681人评价)
轻狂,巫哲/印刷工业出版社/2019-9-1/49.80元,7.4,(727人评价)
AWM「絕地求生」VOLUME #2,漫漫何其多/威向有限公司/2018-8/NTD320,7.8,(2074人评价)
天官賜福 四,墨香銅臭/平心出版/2017-12/NTD330,7.8,(1451人评价)
